"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
18,msc 365d no f no r,R,365,y,n,n,n,0,365,365,365,2,0,365,999,999,8,3,7,14,19,0,0,0,2,2,4,0,0,0,11,11,11,0,0,65,3,0,0,0,11,132,59,0,0,$0.00,0,$0.00,n,$100.00,$0.00,$20.00,$0.00,$0.00,12,4,4,0,0,ALL
19,msc sem no fines,A,165,y,n,n,n,0,21,7,0,1,0,180,999,999,7,3,7,14,19,0,0,0,2,2,4,0,0,0,11,11,11,0,0,65,3,0,0,0,11,132,59,0,0,$0.00,0,$0.00,n,$100.00,$0.00,$20.00,$0.00,$0.00,12,4,4,0,0,ALL
20,mpc 14d N$,R,14,y,n,n,n,0,15,14,14,2,2,14,999,999,8,3,7,7,16,0,0,0,205,206,207,0,0,0,10,10,10,0,0,72,2,0,0,0,10,61,183,5,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,207,3,0,0,ALL
21,mpc 14d N$ no ren,R,14,n,n,n,n,0,0,0,0,0,0,14,999,999,8,3,7,7,16,0,0,0,205,206,207,0,0,0,10,10,10,0,0,72,2,0,0,0,10,61,183,5,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,25,3,0,0,ALL
22,mpc 7d N$ fine,R,7,n,n,n,n,0,0,0,0,0,0,7,999,999,8,3,7,7,16,0,0,0,205,206,207,0,0,0,10,10,10,0,0,72,2,0,0,0,10,61,183,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,207,3,0,0,ALL
23,MLD Holdable,R,0,y,n,n,n,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,y,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,ALL
24,ep 7/d 10/d NH NR,R,7,n,n,n,n,0,0,0,0,0,0,0,0,0,0,3,5,10,25,0,0,0,114,115,116,0,0,0,10,10,10,0,0,113,3,0,0,0,0,117,0,3,50,$10.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,116,0,0,0,ALL
25,mpc 28d N$,R,28,y,n,n,n,0,29,28,28,2,2,28,999,999,8,3,7,7,16,0,0,0,205,206,207,0,0,0,10,10,10,0,0,72,2,0,0,0,10,61,183,5,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,207,4,0,0,ALL
26,ev 21d H NR .10/d,R,21,y,n,n,n,0,0,0,0,0,0,0,999,999,8,3,7,14,24,7,0,0,52,52,53,0,0,0,11,11,11,11,0,79,3,0,0,0,11,85,100,3,20,$0.10,0,$0.00,n,$30.00,$0.00,$5.00,$0.00,$0.00,12,53,4,0,0,ALL
27,LC 7d 0r N$,R,7,y,n,n,n,0,0,0,0,0,0,1,999,999,8,2,1,6,14,7,0,0,216,216,216,217,0,0,10,10,10,0,0,239,3,0,0,0,10,220,8,0,0,$0.00,0,$0.00,n,$30.00,$0.00,$0.00,$0.00,$0.00,12,217,3,0,0,ALL
28,LC 21d 3r N$,R,21,y,n,n,n,0,22,21,21,3,0,21,999,999,8,3,1,6,14,7,0,0,216,216,216,217,0,0,10,10,10,0,0,239,3,0,0,0,10,220,8,0,0,$0.00,0,$0.00,n,$30.00,$0.00,$0.00,$0.00,$0.00,12,217,3,0,0,ALL
29,bemis unlimited,R,999,y,n,n,n,0,3,2,2,2,1,2,999,999,8,3,1,13,16,0,0,0,197,198,199,0,0,0,10,10,10,0,0,57,3,0,0,0,10,191,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,199,3,0,0,ALL
30,gcp 21d N$,R,21,y,n,n,n,0,22,21,21,2,2,21,999,999,8,3,14,31,15,0,0,0,70,80,71,0,0,0,10,10,10,0,0,67,3,0,0,0,10,112,8,0,0,$0.00,0,$0.00,n,$30.00,$0.00,$0.00,$0.00,$0.00,12,71,3,0,0,ALL
31,"be 1 day ",R,1,y,n,n,n,0,1,1,1,1,1,1,999,999,8,3,1,13,16,0,0,0,197,198,199,0,0,0,10,10,10,0,0,57,3,0,0,0,10,191,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,199,3,0,0,ALL
32,be 7d H N$,R,7,y,n,n,n,0,7,7,7,2,1,7,999,999,8,3,1,13,16,0,0,0,197,198,199,0,0,0,10,10,10,0,0,57,3,0,0,0,10,191,8,0,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,199,3,0,0,ALL
33,sum non circ,N,0,n,n,n,n,0,0,0,0,0,0,0,0,0,0,2,14,7,14,0,0,0,1,86,0,0,0,0,10,10,10,0,0,57,3,0,0,0,10,5,8,0,5,$1.00,0,$0.00,n,$25.00,$0.00,$5.00,$0.00,$0.00,12,87,3,0,0,ALL
34,sum 7d N$,R,7,y,n,n,n,0,3,7,7,2,0,7,999,999,8,3,7,7,16,0,0,0,166,233,87,0,0,0,10,10,10,0,0,167,3,0,0,0,10,5,8,0,5,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,12,87,3,0,0,ALL
35,sum 14d N$ 2pr,R,14,y,n,n,n,0,14,14,14,2,0,15,999,999,8,3,7,7,16,0,0,0,166,233,87,0,0,0,10,10,10,0,0,167,3,0,0,0,10,5,8,7,8,$0.00,0,$0.00,n,$25.00,$2.00,$0.00,$0.00,$0.00,12,87,3,0,0,ALL
36,sum 14d N$ $5pr,R,14,y,n,n,n,0,15,14,14,2,0,14,999,999,8,3,7,7,16,0,0,0,166,233,87,0,0,0,10,10,10,0,0,167,3,0,0,0,10,5,8,7,12,$0.00,0,$0.00,n,$35.00,$5.00,$0.00,$0.00,$0.00,12,87,3,0,0,ALL
37,sum 30d no fine,R,30,y,n,n,n,0,31,30,0,1,0,30,999,999,0,3,7,7,16,0,0,0,166,233,87,0,0,0,10,10,10,0,0,167,3,0,0,0,10,5,8,0,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,12,87,3,0,0,ALL
38,sum 180d no fine,R,180,n,n,n,n,0,90,90,10,1,0,180,999,999,8,3,7,7,16,0,0,0,1,0,0,0,0,0,10,0,0,0,0,167,3,0,0,0,10,5,8,0,0,$0.00,0,$0.00,n,$25.00,$0.00,$0.00,$0.00,$0.00,12,87,3,0,0,ALL
39,be 21d H N$,R,21,y,n,n,n,0,21,21,21,2,1,21,999,999,8,4,1,13,16,0,0,0,197,198,199,0,0,0,10,10,10,10,0,57,3,0,0,0,10,191,100,3,0,$0.00,0,$0.00,n,$0.00,$0.00,$0.00,$0.00,$0.00,12,199,14,0,0,ALL
40,ev 7d no fines,R,7,y,n,n,n,0,7,7,7,3,2,7,999,999,8,3,7,14,24,0,0,0,52,52,53,0,0,0,10,10,10,10,0,79,3,0,0,0,10,85,100,3,0,$0.00,0,$0.00,n,$25.00,$0.00,$5.00,$0.00,$0.00,12,53,14,0,0,ALL
41,ev 7d .10 fine,R,7,y,n,n,n,0,8,7,7,3,2,7,999,999,8,3,7,14,24,0,0,0,52,52,53,0,0,0,10,10,10,10,0,79,3,0,0,0,10,85,100,3,30,$0.10,0,$0.00,n,$25.00,$0.00,$5.00,$0.00,$0.00,12,53,14,0,0,ALL
42,LC 14d 0r N$,R,14,y,n,n,n,0,0,0,0,0,0,0,999,999,8,0,1,6,14,7,0,0,216,216,216,217,0,0,10,10,10,10,0,239,0,0,0,0,10,220,8,0,0,$0.00,0,$0.00,n,$25.00,$0.00,$0.00,$0.00,$0.00,12,217,14,0,0,ALL
