"",Location,Patron Type,Item Type,Age Range,Rule Number,Active,Editable By
68,befga,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
69,bgfga,"1-3,5,10,13,17-21",9999,,6,Y,ALL
70,bgfga,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
71,bmfga,"1-3,5,10,13,17-21",9999,,6,Y,ALL
72,bmfga,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
73,bbfca,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
74,bbfca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
75,bnfca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
76,bnfca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
77,befca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
78,befca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
79,bgfca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
80,bgfca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
81,bmfca,"1-3,5,10,13,17-21",9999,,6,Y,ALL
82,bmfca,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
83,bbfcx,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
84,bbfcx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
85,bmfcx,"1-3,5,10,13,17-21",9999,,6,Y,ALL
86,bmfcx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ALL
87,bnfcx,"1-3,5,10,13,17-21",9999,,6,Y,ADMIN
88,bnfcx,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,66,Y,ADMIN
89,bbfcj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
90,bbfcj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
91,bnfcj,"1-5,10,13,17-21",9999,,7,Y,ALL
92,bnfcj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
93,befcj,"1-5,10,13,17-21",9999,,7,Y,ALL
94,befcj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
95,bgfcj,"1-5,10,13,17-21",9999,,7,Y,ALL
96,bgfcj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
97,bmfcj,"1-5,10,13,17-21",9999,,7,Y,ALL
98,bmfcj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
99,bmfxj,"1-5,10,13,17-21",9999,,7,Y,ALL
100,bmfxj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
101,bbdwj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
102,bbdwj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
103,bndwj,"1-5,10,13,17-21",9999,,7,Y,ADMIN
104,bndwj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ADMIN
105,bmdwj,"1-5,10,13,17-21",9999,,7,Y,ALL
106,bmdwj,"34-43,45-46,67-69,70-77,80-82,84-86,92-93,95-100,105-106,108-112,114-119,125-129,131-133,135-137",9999,,67,Y,ALL
