"",Name,Code,Normal Loan Period,Holdable,Bookable,Home Pickup,Shippable,Ship Time,Time Remaining B4 Renew,First Renewal Period,Additional Renewal Period,Max Number Of Renewals,Max Number Of Auto Renewals,Minimum Use,Eligib To Recall,Time Return Recall,Time To Pickup,Max Number Of Odues,Time First Odue,Time Second Odue,Time Third Odue,Time Fourth Odue,Time Fifth Odue,Time Sixth Odue,Text First Odue,Text Second Odue,Text Third Odue,Text Fourth Odue,Text Fifth Odue,Odue Penalty,Text First OdueR,Text Second OdueR,Text Third OdueR,Text Fourth OdueR,Text Fifth OdueR,Courtesy Notice Text Number,Number Of Days Before Odue,Additional Courtesy Notice,Additional Courtesy Notice Text,Time 1ST Odue Recall,Text Recall Notice,Text Pickup Notice,Text Cancel Pickup,Grace Period For Fines,Number Of D/HR 1st F Per,Amount Of Fine 1st F Per,Number Of D/HR 2nd F Per,Amount Of Fine 2ND F Per,Limit Fine To Price,Default Item Cost,Replace Process Fee,Replace Bll Service Charge,Rental Fee,Fine Incr If Recall,Msg Fines,Msg Bill,Msg Adjustment,Rental Circtext,Penalty Incr If Recall,Editable By
49,Prospector 1 Wk Inst,R,17,y,n,n,n,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,$0.00,n,$35.00,$0.00,$5.00,$0.00,$0.00,0,0,0,0,0,ALL
50,Prospector 3 Wk Patr,R,21,y,n,n,n,0,22,21,0,1,1,21,999,0,7,3,7,14,28,0,0,0,31,32,33,0,0,0,0,0,0,0,0,43,3,0,0,0,0,78,35,0,50,$0.10,0,$0.00,n,$35.00,$0.00,$5.00,$0.00,$0.00,0,36,37,0,0,ALL
51,Prospector 1 Wk Patr,R,7,y,n,n,n,0,0,0,0,0,0,7,999,0,7,3,7,14,28,0,0,0,31,32,33,0,0,0,0,0,0,0,0,43,3,0,0,0,0,78,35,0,50,$0.10,0,$0.00,n,$35.00,$0.00,$5.00,$0.00,$0.00,0,36,37,0,0,ALL
52,mde per 7 days,R,7,n,n,n,n,0,6,7,7,2,2,7,0,0,0,3,7,7,7,9,0,0,21,22,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,0,0,0,40,$0.00,0,$0.00,n,$10.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
53,mde dvd 7 days,R,7,y,n,n,n,0,7,7,7,2,2,7,999,0,7,3,10,11,70,0,0,0,21,22,0,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,20,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
54,bpl lucky day,R,21,n,n,n,n,0,0,0,0,0,0,21,999,0,0,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,1,25,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
55,bpl lucky/staff,R,21,n,n,n,n,0,0,0,0,0,0,21,999,0,0,3,7,7,16,0,0,0,1,2,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,1,0,$0.00,0,$0.00,n,$25.00,$5.00,$0.00,$0.00,$0.00,4,3,6,0,0,ALL
56,mde buzz 14 staff,R,14,n,n,n,n,0,0,0,0,0,0,14,999,0,0,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,0,$0.00,0,$0.00,n,$50.00,$0.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
57,mde buzz 14 pat,R,14,n,n,n,n,0,0,0,0,0,0,14,999,0,0,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,9,0,100,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
58,mde 21d 0h 0r 0f 50m,R,21,n,n,n,n,0,0,0,0,0,0,21,999,0,0,4,7,7,7,9,0,0,21,22,46,0,0,0,0,0,0,0,0,42,3,0,0,0,0,45,0,0,0,$0.00,0,$0.00,n,$50.00,$5.00,$0.00,$0.00,$0.00,30,23,25,0,0,ALL
